rank,highway_length,highway_nodes,highway_tuple,occurrence_count,pct_of_paths,pct_of_paths_min_length,unique_communities_spanned
7,4,CampFlogGnaw → AimeLeonDore → Athleta_gap → BlackestFridayDeals,"('CampFlogGnaw', 'AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals')",6,2.69,88.14,3
8,4,AVexchange → BalisongSale → BloxFruitsTrades → AdoptMeTradingRoblox,"('AVexchange', 'BalisongSale', 'BloxFruitsTrades', 'AdoptMeTradingRoblox')",6,2.69,88.14,1
9,4,BalisongSale → BloxFruitsTrades → AdoptMeTradingRoblox → AdoptMeTrading,"('BalisongSale', 'BloxFruitsTrades', 'AdoptMeTradingRoblox', 'AdoptMeTrading')",6,2.69,88.14,2
10,4,AimeLeonDore → 1688Reps → BikeShop → AVexchange,"('AimeLeonDore', '1688Reps', 'BikeShop', 'AVexchange')",5,2.24,88.14,2
11,4,BestThings → BlackestFridayDeals → Athleta_gap → AimeLeonDore,"('BestThings', 'BlackestFridayDeals', 'Athleta_gap', 'AimeLeonDore')",5,2.24,88.14,2
12,4,AgencySquad → AdoptMeTrading → AdoptMeTradingRoblox → BloxFruitsTrades,"('AgencySquad', 'AdoptMeTrading', 'AdoptMeTradingRoblox', 'BloxFruitsTrades')",4,1.79,88.14,3
13,4,AgencySquad → BlackMetalMemes → 2islamist4you → Afghan,"('AgencySquad', 'BlackMetalMemes', '2islamist4you', 'Afghan')",4,1.79,88.14,2
14,4,Androgynoushotties → BlackHair → Barber → BeardAdvice,"('Androgynoushotties', 'BlackHair', 'Barber', 'BeardAdvice')",4,1.79,88.14,2
15,4,AmazonSeller → Buyee → Aliexpress → AmazonWFShoppers,"('AmazonSeller', 'Buyee', 'Aliexpress', 'AmazonWFShoppers')",4,1.79,88.14,2
16,4,AgencySquad → Cholansfw → CelebsARG_ → BundaBoa,"('AgencySquad', 'Cholansfw', 'CelebsARG_', 'BundaBoa')",3,1.35,88.14,3
17,4,AgencySquad → ATBandATGcommunity → ButchSelfies → BlackHair,"('AgencySquad', 'ATBandATGcommunity', 'ButchSelfies', 'BlackHair')",3,1.35,88.14,2
18,4,Anna_Faith → AimeLeonDore → 1688Reps → BikeShop,"('Anna_Faith', 'AimeLeonDore', '1688Reps', 'BikeShop')",3,1.35,88.14,3
19,4,Anna_Faith → AimeLeonDore → Athleta_gap → BlackestFridayDeals,"('Anna_Faith', 'AimeLeonDore', 'Athleta_gap', 'BlackestFridayDeals')",3,1.35,88.14,3
